Rk,Team,Seed,Conf,W,L,AdjEM,AdjO,AdjO_R,AdjD,AdjD_R,AdjT,AdjT_R,Luck,Luck_R,AdjEM2,AdjEM_R,OppO,OppO_R,OppD,OppD_R,AdjEM3,AdjEM_R4,R64,R32,R16,R8,R4,R2,Winner,Conference,year,prob_loss,prob_win,Outcome
18,Arkansas,3,SEC,22,6,21.53,111.5,35,90,14,73.1,17,0.056,57,11.19,60,108.2,56,97,69,-5.28,282,1,1,1,,,,,S,2021,0.45885727,0.54114273,1
13,Purdue,4,B10,18,9,22.27,113.6,23,91.3,23,66.5,274,0.019,131,17.27,11,111.5,11,94.2,12,5.71,114,1,1,1,1,,,,S,2021,0.382637071,0.617362929,1
12,Villanova,5,BE,16,6,22.62,118.6,9,96,68,65.1,320,-0.006,196,12.99,41,108.8,44,95.9,41,7.33,91,1,1,,,,,,S,2021,0.513304688,0.486695312,0
23,Texas Tech,6,B12,17,10,20.95,112.4,33,91.4,24,65.4,316,-0.091,333,11.29,59,108,60,96.7,60,-5.55,288,1,0,,,,,,S,2021,0.748751574,0.251248426,0
37,Florida,7,SEC,14,9,17.55,111,40,93.4,37,68.6,165,0.003,166,14.62,23,109.7,27,95.1,25,8.64,76,1,1,,,,,,S,2021,0.629925865,0.370074135,0
28,North Carolina,8,ACC,18,10,20.09,110.1,53,90,15,71.8,45,-0.017,217,14.2,28,110.7,14,96.5,55,7.67,87,1,0,,,,,,S,2021,0.528554172,0.471445828,0
10,Wisconsin,9,B10,17,12,22.65,112.5,32,89.9,13,64.9,326,-0.049,283,18.06,9,111.7,7,93.7,8,1.22,194,1,1,1,,,,,S,2021,0.540206913,0.459793087,0
50,Virginia Tech,10,ACC,15,6,15.22,110,55,94.8,54,66.2,293,0.066,45,9.31,80,107.6,71,98.2,104,0.54,206,1,0,,,,,,S,2021,0.743320704,0.256679296,0
40,Utah St.,11,MWC,20,8,16.51,105.7,112,89.2,8,68.9,154,-0.032,248,5.13,119,104.8,122,99.7,127,7.49,88,1,1,,,,,,S,2021,0.861562997,0.138437003,0
91,Winthrop,12,BSth,23,1,8.94,105.1,120,96.2,70,73.6,11,0.032,103,-6.45,309,98.8,289,105.3,316,3.95,147,1,,,,,,,S,2021,0.899985907,0.100014093,0
71,North Texas,13,CUSA,17,9,11.7,105.4,119,93.7,42,63.1,350,-0.042,271,4.33,132,103.5,158,99.1,116,5.22,124,1,,,,,,,S,2021,0.72653886,0.27346114,0
84,Colgate,14,Pat,14,1,10.22,110.9,43,100.7,140,72.4,25,0.05,71,-6.6,313,99.1,283,105.7,328,-99,331,1,,,,,,,S,2021,0.812254157,0.187745843,0
152,Oral Roberts,15,Sum,16,10,1.22,108.7,74,107.4,285,71.8,47,0.013,147,0.01,177,102.9,173,102.8,206,21.34,4,1,,,,,,,S,2021,0.956666379,0.043333621,0
192,Hartford,16,AE,15,8,-2.73,97.5,254,100.2,127,66.7,269,0.078,32,-6.24,304,98.2,309,104.4,276,-0.13,213,1,,,,,,,S,2021,0.926666543,0.073333457,0
1,Gonzaga,1,WCC,26,0,36.62,126.1,1,89.5,10,74.8,4,0.018,136,7.82,94,105.7,100,97.9,96,5.99,106,1,1,1,1,1,1,,W,2021,0.442986591,0.557013409,1
5,Iowa,2,B10,21,8,28.9,123.5,2,94.6,50,70,100,-0.028,240,16.91,13,110.3,19,93.4,6,-5.43,286,1,1,1,1,,,,W,2021,0.450000923,0.549999077,1
22,Kansas,3,B12,20,8,21.03,109.6,59,88.6,6,68.3,186,0.042,87,14.71,20,110,23,95.3,31,10.14,56,1,1,,,,,,W,2021,0.674009292,0.325990708,0
11,Virginia,4,ACC,18,6,22.65,115.6,12,93,33,60.1,357,0.046,83,12.02,53,109.6,30,97.6,84,0.28,210,1,1,1,,,,,W,2021,0.68295306,0.31704694,0
19,Creighton,5,BE,20,8,21.31,114.9,14,93.6,40,69.1,144,0.001,172,12.52,45,107.8,63,95.3,29,-1.4,233,1,1,,,,,,W,2021,0.538985281,0.461014719,0
14,USC,6,P12,22,7,22.22,112.9,30,90.7,19,67.3,236,-0.006,194,11.13,64,108.1,57,97,70,5.03,128,1,1,1,,,,,W,2021,0.543932347,0.456067653,0
36,Oregon,7,P12,20,6,17.68,114.5,16,96.8,76,67.2,242,0.048,76,10.06,75,107.7,68,97.6,89,2.73,164,1,1,,,,,,W,2021,0.715543078,0.284456922,0
39,Oklahoma,8,B12,15,10,16.64,111.4,36,94.8,53,67.7,222,-0.038,260,12.45,48,108.2,55,95.7,38,0.59,203,1,0,,,,,,W,2021,0.646491946,0.353508054,0
51,Missouri,9,SEC,16,9,15.15,110.2,51,95.1,58,68.7,160,0.088,24,15.08,17,109.8,25,94.7,20,9.77,59,1,1,,,,,,W,2021,0.619203847,0.380796153,0
45,VCU,10,A10,19,7,15.91,105.5,117,89.6,12,69.8,110,0.035,98,8.96,86,106.6,87,97.6,86,5.52,119,1,0,,,,,,W,2021,0.759133283,0.240866717,0
53,Drake,11,MVC,25,4,14.64,113.9,19,99.3,120,66.8,265,0.095,21,2.18,157,102.9,172,100.7,138,-9.27,310,,0,,,,,,W,2021,0.697418746,0.302581254,0
69,UC Santa Barbara,12,BW,22,4,12.23,109.2,66,97,82,66.1,295,0.054,63,-0.54,185,101.4,215,101.9,174,2.48,169,1,,,,,,,W,2021,0.696392886,0.303607114,0
78,Ohio,13,MAC,16,7,11.11,113,29,101.9,174,69.3,131,0.027,113,4.23,133,105.3,108,101.1,146,1.47,191,1,,,,,,,W,2021,0.879997372,0.120002628,0
110,Eastern Washington,14,BSky,16,7,6.65,107.7,86,101,152,72.3,28,-0.081,323,-3.21,236,100.6,237,103.8,241,17.77,12,1,,,,,,,W,2021,0.963333151,0.036666849,0
108,Grand Canyon,15,WAC,17,6,6.98,103.6,142,96.6,74,65.5,314,-0.061,299,-4.01,255,100.3,245,104.3,270,0.68,201,1,,,,,,,W,2021,0.976665304,0.023334696,0
200,Norfolk St.,16,MEAC,16,7,-3.74,100.6,204,104.4,219,67.7,221,0.031,106,-8.31,334,96.9,326,105.2,312,-0.73,224,,,,,,,,W,2021,0.929999976,0.070000024,0
